allowedConnectorTypes,disallowedEvseIdPrefixes,concurrentTransaction,idTokenType,language1,language2,realTimeAuth,realTimeAuthUrl,status,chargingPriority,groupAuthorizationId,id,realTimeAuthTimeout,tenantPartnerId,personalMessage,additionalInfo,customData,realTimeAuthLastAttempt,cacheExpiryDateTime,createdAt,updatedAt,idToken
"null","null","false","'ISO14443'","null","null","'Always'","null","'Rejected'","null","null","69","null","null","null","{
  'name': 'TEST1',
  'color': 'blue',
  'customer': '68d043fb-3761-4040-aee0-4e40a1c91f14'
}","null","null","null","'2026-05-05T12:14:06.876297+00:00'","'2026-05-08T06:54:00.511975+00:00'","'TEST1'"
"null","null","false","'MacAddress'","null","null","'Always'","null","'Rejected'","null","null","64","null","null","null","{
  'name': 'VID:ABCDE234',
  'color': 'blue',
  'customer': '68d043fb-3761-4040-aee0-4e40a1c91f14'
}","null","null","null","'2026-04-30T14:29:10.890088+00:00'","'2026-05-08T06:56:14.835571+00:00'","'VID:ABCDE234'"
"null","null","false","'ISO14443'","null","null","'Always'","null","'Accepted'","null","null","53","null","null","null","[
  {
    'type': 'eMAID',
    'additionalIdToken': 'FR*ZETRA*E1234567890'
  },
  {
    'name': 'Noir-2',
    'color': 'black',
    'customer': 'Bogaert'
  },
  {
    'type': 'visual_number',
    'additionalIdToken': '0123456789'
  },
  {
    'type': 'issuer',
    'additionalIdToken': 'Zetra'
  }
]","null","null","null","'2026-04-09T12:02:15.094618+00:00'","'2026-04-09T12:02:15.094618+00:00'","'5BAF0A45'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","55","null","null","null","{
  'yo': 'test'
}","null","null","null","'2026-04-20T12:00:00+00:00'","'2026-04-20T12:00:00+00:00'","'TESTTLE'"
"null","null","false","'ISO14443'","null","null","'Always'","null","'Accepted'","null","null","73","null","null","null","{
  'name': '123456',
  'color': 'blue',
  'customer': 'fba8bb65-e642-47ee-825e-992070f96089'
}","null","null","null","'2026-05-06T12:24:59.108825+00:00'","'2026-05-11T11:48:52.854963+00:00'","123456"
"null","null","false","'ISO14443'","null","null","'Always'","null","'Accepted'","null","null","60","null","null","null","{
  'name': '02F9625C',
  'color': 'blue',
  'customer': '52bdb661-0eac-4a2b-bc8b-1fc46013c3b4'
}","null","null","null","'2026-04-29T16:14:15.28008+00:00'","'2026-04-29T16:20:25.153226+00:00'","'02F9625C'"
"null","null","false","'ISO14443'","null","null","'Always'","null","'Accepted'","null","null","65","null","null","null","{
  'name': '32F4611B',
  'color': 'blue',
  'customer': '68d043fb-3761-4040-aee0-4e40a1c91f14'
}","null","null","null","'2026-05-04T12:21:01.657509+00:00'","'2026-05-04T12:21:01.657509+00:00'","'32F4611B'"
"null","null","false","'MacAddress'","null","null","'Always'","null","'Accepted'","null","null","66","null","null","null","{
  'name': 'VID:123456',
  'color': 'blue',
  'customer': '68d043fb-3761-4040-aee0-4e40a1c91f14'
}","null","null","null","'2026-05-04T12:42:57.146105+00:00'","'2026-05-04T12:42:57.146105+00:00'","'VID:123456'"
"null","null","false","'ISO14443'","null","null","'Always'","null","'Accepted'","null","null","67","null","null","null","{
  'name': 'test',
  'color': 'red',
  'customer': 'to'
}","null","null","null","'2025-04-04T00:00:00+00:00'","'2025-04-04T00:00:00+00:00'","1122"
"null","null","false","'ISO14443'","null","null","'Always'","null","'Accepted'","null","null","72","null","null","null","{
  'name': '6A70EB3C',
  'color': 'blue',
  'customer': '68d043fb-3761-4040-aee0-4e40a1c91f14'
}","null","null","null","'2026-05-06T12:22:28.223722+00:00'","'2026-05-06T12:22:28.223722+00:00'","'6A70EB3C'"
"null","null","false","'ISO14443'","null","null","'Always'","null","'Accepted'","null","null","129","null","null","null","{
  'name': '123TEST456',
  'color': 'blue',
  'customer': '52bdb661-0eac-4a2b-bc8b-1fc46013c3b4'
}","null","null","null","'2026-05-18T12:32:06.299633+00:00'","'2026-05-19T12:05:16.953669+00:00'","'123TEST456'"
