allowedConnectorTypes,disallowedEvseIdPrefixes,concurrentTransaction,idTokenType,language1,language2,realTimeAuth,realTimeAuthUrl,status,chargingPriority,groupAuthorizationId,id,realTimeAuthTimeout,tenantId,tenantPartnerId,personalMessage,additionalInfo,customData,realTimeAuthLastAttempt,cacheExpiryDateTime,createdAt,updatedAt,idToken
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","13","null","1","null","null","null","null","null","null","'2026-02-09T10:39:21.567+00:00'","'2026-02-09T10:39:21.567+00:00'","'95BA8A9A'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","14","null","1","null","null","null","null","null","null","'2026-02-09T10:40:19.472+00:00'","'2026-02-09T10:40:19.472+00:00'","'F7497B51'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","15","null","1","null","null","null","null","null","null","'2026-02-09T10:40:47.801+00:00'","'2026-02-09T10:40:47.801+00:00'","'65D29B9A'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","16","null","1","null","null","null","null","null","null","'2026-02-09T10:41:13.151+00:00'","'2026-02-09T10:41:13.151+00:00'","'A5ADB471'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","17","null","1","null","null","null","null","null","null","'2026-02-09T10:41:37.88+00:00'","'2026-02-09T10:41:37.88+00:00'","'85E19C71'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","18","null","1","null","null","null","null","null","null","'2026-02-09T10:42:02.236+00:00'","'2026-02-09T10:42:02.236+00:00'","'B5837CDB'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","19","null","1","null","null","null","null","null","null","'2026-02-09T10:42:23.952+00:00'","'2026-02-09T10:42:23.952+00:00'","'F51EA371'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","20","null","1","null","null","null","null","null","null","'2026-02-09T10:42:47.435+00:00'","'2026-02-09T10:42:47.435+00:00'","'F7CA1151'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","21","null","1","null","null","null","null","null","null","'2026-02-09T10:43:08.2+00:00'","'2026-02-09T10:43:08.2+00:00'","'C71D7951'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","25","null","1","null","null","null","null","null","null","'2026-02-18T17:30:51.321+00:00'","'2026-02-18T17:30:51.321+00:00'","'5BAF0A45'"
"null","null","false","'MacAddress'","null","null","'Never'","null","'Accepted'","null","null","28","null","1","null","null","null","null","null","null","'2026-02-20T17:16:55.998+00:00'","'2026-02-20T17:16:55.998+00:00'","'VID:001823B49A36'"
"null","null","false","'MacAddress'","null","null","'Never'","null","'Accepted'","null","null","29","null","1","null","null","null","null","null","null","'2026-02-20T17:17:43.254+00:00'","'2026-02-20T17:17:43.254+00:00'","'VID:00182396EC85'"
"null","null","false","'MacAddress'","null","null","'Never'","null","'Accepted'","null","null","30","null","1","null","null","null","null","null","null","'2026-02-24T16:30:34.351+00:00'","'2026-02-24T16:30:34.351+00:00'","'VID:008DF408EA5C'"
"null","null","false","'MacAddress'","null","null","'Never'","null","'Accepted'","null","null","31","null","1","null","null","null","null","null","null","'2026-02-25T08:11:31.141+00:00'","'2026-02-25T08:11:31.141+00:00'","'VID:008DF408EA12'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","32","null","1","null","null","null","null","null","null","'2026-02-25T09:32:22.398+00:00'","'2026-02-25T09:32:22.398+00:00'","'2572CB3C'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","33","null","1","null","null","null","null","null","null","'2026-02-25T09:47:22.031+00:00'","'2026-02-25T09:47:22.031+00:00'","'7241CC3C'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","34","null","1","null","null","null","null","null","null","'2026-02-25T09:49:16.176+00:00'","'2026-02-25T09:49:16.176+00:00'","'012EED3C'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","35","null","1","null","null","null","null","null","null","'2026-04-09T14:15:38.634+00:00'","'2026-04-09T14:15:38.634+00:00'","'5B9D6845'"
